383,Mszana Dolna,13-07-17,4053836.00
384,Suwałki,12-08-17,4042245.60
385,Dąbrowa Białostocka,24-12-11,4029104.20
386,Rzgów,05-05-07,4016132.10
387,Dąbrowa Górnicza,28-03-07,3972404.10
388,Białystok,27-05-08,3970208.20
389,Białogard,27-05-08,3970208.20
390,Poznań,27-05-08,3970208.20
391,Płock,19-12-09,3966957.80
392,Szczecin,19-12-09,3966957.80
393,Żyrardów,19-12-09,3966957.80
394,Przyborów,31-12-05,3953068.90
395,Gdańsk,20-07-17,3943986.40
396,Olesno,21-07-07,3876014.20
397,Ksawerów,15-11-03,3872483.50
398,Żukowo,15-11-03,3872483.50
399,Kraków,15-11-03,3872483.50
400,Głogów,24-12-15,3863425.40
401,Celestynów,23-05-01,3860968.60
402,Tarnowskie Góry,06-01-07,3852044.20
403,Libiąż,06-01-07,3852044.20
404,Poraj,24-10-01,3840558.10
405,Jaworzno,24-10-01,3840558.10
406,Mysłowice,24-10-01,3840558.10
407,Poznań,24-10-01,3840558.10
408,Kraków,08-05-10,3834825.70
409,Rzgów,08-05-10,3834825.70
410,Warszawa,29-04-00,3791400.90
411,Warszawa,20-01-07,3771252.80
412,Gdańsk,20-01-07,3771252.80
413,Narol,20-01-07,3771252.80
414,Gdańsk,08-07-08,3759193.10
415,Warzymice,08-07-08,3759193.10
416,Dąbrowa Górnicza,01-07-06,3735832.40
417,Chełm,01-07-06,3735832.40
418,Międzyrzecz,17-02-07,3692094.20
419,Buk,14-09-13,3605946.30
420,Brzozów,14-09-13,3605946.30
421,Warszawa,05-02-08,3559822.40
422,Leszno,26-04-14,3557905.10
423,Kraków,26-04-14,3557905.10
424,Białystok ,20-01-09,3516472.00
425,Olesno,20-11-12,3483605.40
426,Pleszew,13-03-10,3463473.50
427,Stargard,27-03-04,3462400.30
428,Gorzów Wielkopolski,02-05-01,3453863.40
429,Poznań,28-02-07,3453678.00
430,Wrocław,26-11-03,3450029.00
431,Szydłowiec,26-11-03,3450029.00
432,Rudziniec,01-10-11,3439674.50
433,Piastów,24-01-09,3435115.50
434,Szklarska Poręba,12-02-03,3425078.50
435,Kutno,23-10-04,3399649.80
436,Białystok,23-10-04,3399649.80
437,Głubczyce,23-10-04,3399649.80
438,Opoczno,27-01-07,3393198.70
439,Szczytno,29-11-06,3379564.00
440,Warszawa,05-01-02,3374715.90
441,Stara Huta,05-01-02,3374715.90
442,Góra Puławska,05-01-02,3374715.90
443,Rybnik,02-08-08,3373419.30
444,Oborniki,30-06-12,3372557.00
445,Poznań,26-03-11,3359992.90
446,Iława,21-02-04,3356035.20
447,Ożarów Mazowiecki,15-03-08,3321027.60
448,Wrocław,07-01-04,3317563.50
449,Gdańsk,07-01-04,3317563.50
450,Baniocha,08-01-08,3311713.50
451,Kościerzyna,08-01-08,3311713.50
452,Legionowo,08-01-08,3311713.50
453,Kutno,07-07-01,3303152.00
454,Płock,07-07-01,3303152.00
455,Białystok,09-10-12,3259870.30
456,Kraków,13-12-03,3255417.70
457,Stalowa Wola,18-08-09,3251884.60
458,Dąbrowa Tarnowska,18-08-09,3251884.60
459,Warszawa,25-01-03,3250015.50
460,Gniezno,18-05-05,3237938.40
461,Szczytno,30-03-10,3227080.10
462,Nisko,04-08-12,3219626.40
463,Pniewy,14-02-04,3215647.80
464,Zielona Góra,15-11-14,3213086.50
465,Głuszyca,15-11-14,3213086.50
466,Kraków,22-09-15,3208737.80
467,Warszawa,22-09-15,3208737.80
468,Kraków,26-03-03,3208426.80
469,Warszawa,10-11-04,3198807.10
470,Gdów,15-03-06,3196084.90
471,Piaseczno,15-02-06,3189243.40
472,Rzeszów,04-02-04,3181551.10
473,Warszawa,05-11-05,3169685.40
474,Busko-Zdrój,03-01-09,3158056.60
475,Luzino,03-01-09,3158056.60
476,Opole Lubelskie,17-01-04,3155281.60
477,Rzeszów,18-04-15,3143555.90
478,Szczecin,22-03-06,3131642.80
479,Gdańsk,04-02-06,3124541.20
480,Jelenia Góra,30-09-06,3113772.00
481,Lublin,27-03-02,3104677.40
482,Książ Wielkopolski,27-03-02,3104677.40
483,Siewierz,27-03-02,3104677.40
484,Prudnik,27-03-02,3104677.40
485,Dobrcz,09-12-06,3097026.20
486,Częstochowa,08-10-05,3088746.10
487,Wrocław,18-01-11,3084936.30
488,Toruń,14-07-15,3083181.70
489,Prudnik,20-12-03,3072361.00
490,Nysa,04-04-09,3064484.40
491,Warszawa,01-10-05,3055324.00
492,Wadowice,01-12-04,3052970.50
493,Lublin,24-11-01,3052575.40
494,Legionowo,22-02-14,3043613.20
495,Łaziska Górne,14-08-10,3020811.60
496,Kórnik,21-09-05,3016407.30
497,Warszawa,21-09-05,3016407.30
498,Zagnańsk,25-11-14,3016182.70
499,Nysa,25-11-14,3016182.70
500,Oborniki Wielkopolskie,27-12-03,3014455.50
501,Gorzów Wielkopolski,24-01-04,3013545.40
502,Gdynia,21-05-03,3008280.00
503,Andrychów,21-10-98,3006208.00
504,Kraków,04-01-03,2997305.50
